Fecha,Reunion,Carrera,Hora,Premio,Distancia,Superficie,Tipo,Numero,Ejemplar,Peso,Jinete
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,1,BEL FIOR,57,RODRIGO PAINEN
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,2,ANTIOCO,57,MARCO MORALES
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,3,HAMM GOOD,56,FRANCISCO MORALES
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,4,MY CLAUDIA,54,GERARD RODRIGUEZ
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,5,EL KICHAN,53,JOSE VILLABLANCA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,6,VAI BENE COSI,56,RODOLFO FUENZALIDA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,7,SWEET CHILD,57,BENJAMIN SANCHO
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,8,AKISI,54,RONALD FOURNET
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,9,EN CAPILLA,57,HUGO OCHOA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,10,QUE TERRIBLE,57,KEVIN ESPINA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,11,JAVIVALETU,55,VICTOR MIRANDA
07/12/2025,81,1,13:30,FE PURA,1200m,Arena,Handicap,12,CABLE A TIERRA,56,MAURICIO CHAMORRO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,1,KERRYS,55,DARIEN CHEUQUE
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,2,MI NIETA AGUSTINA,56,RONALD FOURNET
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,3,NUEVA ACTRICE,55,WILBERT LEON
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,4,YA AGUS,55,FELIPE HENRIQUEZ
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,5,YOKITA,55,HECTOR BERRIOS
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,6,RAPILLANA,55,MAURICIO CHAMORRO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,7,LUGA,55,JONATHAN A. CASTILLO
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,8,SEÑORA RITA,55,WLADIMIR QUINTEROS
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,9,KISS THE QUEEN,55,IGNACIO VALDIVIA
07/12/2025,81,2,13:59,FUMASOL,1000m,Pasto,Condicional,10,LISTO NO MAS,55,RODOLFO FUENZALIDA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,1,JEFA DE JEFAS,55,NICOLAS SANTIBAÑEZ
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,2,BRONT LUCKY,55,FELIPE HENRIQUEZ
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,3,MALORY,55,JAIME MEDINA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,4,SEVEN WONDERS,55,HECTOR BERRIOS
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,5,SMILE QUEEN,55,FABIAN MEDINA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,6,RAMHE,55,CLAUDIO JORQUERA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,7,LADY IN BLACK,55,JOAQUIN HERRERA
07/12/2025,81,3,14:25,FRANBULO,1600m,Pasto,Condicional,8,RUBIA CLARA,55,DARIEN CHEUQUE
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,1,TOMMY SHELBY,59,NICOLAS RAMIREZ
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,2,HEY JOKE,64,HECTOR BERRIOS
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,3,AMIGOS POR SIEMPRE,56,RAFAEL CISTERNAS
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,4,THE TROOPER,51,AXEL ALVAREZ
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,5,PRIETO AZABACHE,50,WILBERT LEON
07/12/2025,81,4,14:50,JINETES POR SIEMPRE,1600m,Arena,Clasico,6,KAREV,53,JAIME MEDINA
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,1,MUY SOLO AQUI,57,RAFAEL CISTERNAS
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,2,PITTIRANGA,58,AXEL ALVAREZ
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,3,GRAN TOURIST,56,MOISES A. DONOSO
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,4,PESO DORADO,56,RODOLFO FUENZALIDA
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,5,TAN DECORATIVA,56,WLADIMIR QUINTEROS
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,6,LITTLE GASPI,56,FRANCISCO MORALES
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,7,BICAMPEON CHILENO,56,RODRIGO PAINEN
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,8,PEQUEÑA CHENOA,56,JAIME A. MIÑO
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,9,STRATA,57,VICTOR MIRANDA
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,10,WALKA,57,DARIEN CHEUQUE
07/12/2025,81,5,15:20,FEUDALERO,1300m,Pasto,Handicap,11,MARULINA,56,NICOLAS SANTIBAÑEZ
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,1,SINESIO,60,DARIEN CHEUQUE
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,2,GRIEZMANN,60,NICOLAS MOLINA
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,3,LIMATOWN,57,AXEL ALVAREZ
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,4,BALDER EL NORUEGO,53,RODOLFO FUENZALIDA
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,5,DON'T CRY DADDY,51,JAIME A. MIÑO
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,6,BREGO,55,BASTIAN SOTO
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,7,DISMAI,58,BENJAMIN TRONCOSO
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,8,NAVIDAD VELOZ,55,RODRIGO COVARRUBIAS
07/12/2025,81,6,15:49,BOMBEROS DE STGO,1000m,Pasto,Handicap,9,NALALA,59,HECTOR BERRIOS
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,1,ESTRELLA DEL SOL,55,NICOLAS SANTIBAÑEZ
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,2,SUPERAME,56,OSCAR ULLOA
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,3,MI MAMA INES,55,IGNACIO VALDIVIA
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,4,SORRISI,55,HECTOR BERRIOS
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,5,YA VA,55,JAIME MEDINA
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,6,ON LOOK,55,JOAQUIN HERRERA
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,7,GOOD DECISIONS,55,SEBASTIAN GONZALEZ
07/12/2025,81,7,16:16,SOLARIA,1200m,Pasto,Clasico,8,SELVA BELLA,55,RAFAEL CISTERNAS
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,1,SALTO DEL GUAPO,60,FRANCISCO MORALES
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,2,DESENFRENADO,60,BENJAMIN SANCHO
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,3,STATE OF GRACE,58,KEVIN ESPINA
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,4,EL CASTI,54,RODOLFO S. DORES
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,5,HARRY GO,54,RODRIGO PAINEN
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,6,EL ARRUGAO,56,VICTOR BRACETTI
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,7,ONIX BLUE,58,FRANCO SANCHEZ
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,8,AMANDA PEPITA,55,SEBASTIAN GONZALEZ
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,9,MISTERIO LUMINOSO,59,GERARD RODRIGUEZ
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,10,RADIANT ORQUIDEA,59,WLADIMIR QUINTEROS
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,11,RIO AZOPARDO,56,NICOLAS MOLINA
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,12,SONRISA DULCE,58,PEDRO ROBLES
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,13,DIVINA FE,60,IGNACIO VALDIVIA
07/12/2025,81,8,16:46,FARO CARRANZA,1200m,Arena,Handicap,14,SE PREPARO,54,JESUS TORO
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,1,MOSASAURUS,57,MOISES A. DONOSO
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,2,LUCA PRODAN,57,RONALD FOURNET
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,3,MAMITA PININA,55,FABIAN MEDINA
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,4,TURQUESA DORADA,55,DIEGO CARRASCO
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,5,VALDEMIRA BAY,55,DARIEN CHEUQUE
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,6,MARKINABIZKAIA,55,RODRIGO PAINEN
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,7,DOÑA ISA,56,FRANCO SANCHEZ
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,8,NOCHE DE PAINE,55,LUIS D. MENGHINI
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,9,POWER MARINE,57,BENJAMIN AYALA
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,10,SUEÑO REALIDAD,57,BASTIAN SOTO
07/12/2025,81,9,17:15,FUEGO CRUZADO,1100m,Pasto,Condicional,11,MI PEQUEÑO SUEÑO,55,CLAUDIO JORQUERA
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,1,MONACO (ARG),59,JOAQUIN HERRERA
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,2,CASTOR TROY,61,PEDRO ROBLES
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,3,RUSIO NO ES,58,RODOLFO FUENZALIDA
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,4,PUISSANT ROI,55,RODOLFO S. DORES
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,5,NA NI NA,54,NICOLAS MOLINA
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,6,EL MERLUZO,57,GUSTAVO AROS
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,7,JAIMINI,58,SEBASTIAN GONZALEZ
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,8,GRAND SMILE,55,GERARD RODRIGUEZ
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,9,STRONG DAIKIRI,59,RODRIGO PAINEN
07/12/2025,81,10,17:42,FALFUSH,1200m,Arena,Handicap,10,DOBLE NEGRO,56,WILBERT LEON
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,1,SABIONDO,58,JONATHAN A. CASTILLO
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,2,DE ORO Y COBRE,58,GERARD RODRIGUEZ
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,3,PATMAHO,56,BASTIAN SOTO
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,4,DOCTORA MILAGRO,55,HUGO OCHOA
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,5,GRAN KURU,55,AGUSTIN VILLAGRA
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,6,SAIKOU,56,RODOLFO FUENZALIDA
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,7,JOHNNY CINCO MIL,56,RAFAEL CISTERNAS
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,8,VERSE BIEN,56,RODOLFO S. DORES
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,9,SUBI,58,PIERO REYES P.
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,10,IMANOL,57,FRANCISCO MORALES
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,11,FLIGHT OF ICARUS,56,FELIPE HENRIQUEZ
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,12,TODAS MIENTEN,56,JOSE PAREDES
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,13,MI LORD,56,CLAUDIO JORQUERA
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,14,REY ESCOCES,58,BENJAMIN TRONCOSO
07/12/2025,81,11,18:13,FAAZINANTE,1200m,Arena,Handicap,15,MISTER HEAD,55,AXEL ALVAREZ
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,1,PURA ROSA,58,FABIAN MEDINA
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,2,BELLO ENCANTO,59,BENJAMIN SANCHO
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,3,EL BOHEMIO,56,VICTOR MIRANDA
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,4,SCANDINAVA,54,RODOLFO S. DORES
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,5,TANGO Y COMPAS,54,WLADIMIR QUINTEROS
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,6,SEE YOU AGAIN,56,RONALD FOURNET
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,7,GUSTO A POCO,57,MAURICIO CHAMORRO
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,8,MINONI,55,ROBERTO AVILA
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,9,ROSARIO TIJERA,58,WILBERT LEON
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,10,CHICA DEL LUCERO,57,HECTOR BERRIOS
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,11,EXTROVERTIDA,55,IGNACIO VALDIVIA
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,12,TEA AND MILK,57,FRANCISCO MORALES
07/12/2025,81,12,18:44,FUMATA BALANCA,1000m,Pasto,Handicap,13,BRUJO DORADO,58,GERARD RODRIGUEZ
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,1,SALTO DEL CEREZO,60,BENJAMIN SANCHO
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,2,KNESEET,61,GUSTAVO AROS
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,3,BADERO,55,VICTOR MIRANDA
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,4,SEE ME,51,AXEL ALVAREZ
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,5,STRAY KIDS,51,JESUS TORO
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,6,SINGLE BARREL,53,IGNACIO VALDIVIA
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,7,SIGNORE PIO,56,DARIEN CHEUQUE
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,8,SIGUE VOLANDO,52,DIEGO CARRASCO
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,9,PIANTAO,58,RODOLFO S. DORES
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,10,VAMOS AL NOA NOA,58,JOAQUIN HERRERA
07/12/2025,81,13,19:15,FORON,1000m,Pasto,Handicap,11,EL PIRI,57,GERARD RODRIGUEZ
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,1,PALACETE,57,JAIME MEDINA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,2,BARBIE DREAMS,57,GUSTAVO AROS
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,3,TRES PRINCIPES,56,NICOLAS MOLINA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,4,DOTADITA,54,RODRIGO PAINEN
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,5,EN HONOR A TITO,54,DARIEN CHEUQUE
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,6,JE T'AIME,55,GERARD RODRIGUEZ
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,7,EL LEGENDARIO,56,AXEL ALVAREZ
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,8,BESOS DE MIEL,54,RAFAEL CISTERNAS
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,9,RAIRET,57,RONALD FOURNET
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,10,DOBLE NEGRO,56,WILBERT LEON
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,11,SUPER SMASH,55,JONATHAN A. CASTILLO
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,12,FERLUISI,56,JOAQUIN HERRERA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,13,MATE AMARGO,57,BASTIAN SOTO
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,14,CAMELOT,53,RODOLFO FUENZALIDA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,15,ALTO FOREVER,55,HUGO OCHOA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,16,REINA EGIPCIA,53,AGUSTIN VILLAGRA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,1,MANKIND,57,RODRIGO PAINEN
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,2,ACLIS,57,JOSE PAREDES
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,3,YO SOY YI,56,GERARD RODRIGUEZ
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,4,PEDRINHO,54,JORGE A. MORA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,5,SISI STAR,54,DIEGO CARRASCO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,6,QUIEN ME PILLO,55,FELIPE HENRIQUEZ
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,7,MECEDOR,56,WLADIMIR QUINTEROS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,8,TANGERINE TANGO,55,ANDRES CASTILLO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,9,PRIMA TOWN,57,VICTOR BRACETTI
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,10,FUEGO Y HIERRO,56,GUSTAVO AROS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,11,SASSI,55,BENJAMIN TRONCOSO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,12,PLANETA FELIZ,56,RODRIGO COVARRUBIAS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,13,BOMBASTICO,57,JONATHAN A. CASTILLO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,14,VUELVE LA FARRA,54,HUGO OCHOA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,15,BEHIND THE SUN,55,RODOLFO FUENZALIDA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,1,SABIO MENTOR,58,PEDRO ROBLES
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,2,CHINITA TRAVIESA,58,PIERO REYES P.
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,3,ARTHUR SHELBY,55,RODRIGO PAINEN
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,4,KORPER,54,NICOLAS MOLINA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,5,QUICOTE,54,DARIEN CHEUQUE
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,6,COSE DELLA VITA,54,WLADIMIR QUINTEROS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,7,TWEETY,56,FRANCISCO MORALES
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,8,JUNO,54,SEBASTIAN GONZALEZ
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,9,EL KING,56,BENJAMIN AYALA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,10,REY DEL ESTERO,56,BENJAMIN TRONCOSO
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,11,EL CURICANO,54,GERARD RODRIGUEZ
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,12,A MI EDAD DIFICIL,55,RODRIGO COVARRUBIAS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,13,QUEEN TIGER,58,RAFAEL CISTERNAS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,14,RUCIA DEL DOC,54,JESUS TORO
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,15,REO POR LINDO,55,JONATHAN A. CASTILLO
