fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,1,PASAPALABRA,Bad Daddy,57,V. Miranda,F. Gonzalez S.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,2,DIMITRA,Grand Daddy,57,4 Joh. Gonzalez (Ap),J. Silva B.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,3,DANITA FIRST,Seeking The Dia,57,L.,C. Gonzalez C. Garcia V.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,4,REPUBLIC ANA,Exaggerator,57,R.,S. Dores R. Toledo M.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,5,VAN DER SAR,Bad Daddy,57,Seb. Gonzalez,G. Melej R.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,6,ANTIOCO,Classic Empire (Usa),57,4 C. Ortega,R. Montesino S.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,7,MANCHITA DEL ÑUBLE,Admiral,57,5 R. Fuenzalida,C. Melero F.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,9,MICCA,Mendelssohn (Usa),57,B. Sancho,W. Peña P.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,10,NEGRO APAPUCHI,El Piñon,57,Cl. Jorquera,G. Peralta P.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,11,DI LA VERDAD ROSA,Layman,57,4 Js. Cueto,Fco. Faundez Ll.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,12,FELIPHON,Shanghai Bobby,57,A. Varas,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,13,NIETA DEL MONTY,Court Vision,57,9 R. Cisternas,D. Matte D.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,14,EL KICHAN,Exaggerator,57,Js. Villablanca,M. Velarde B.
2026-02-09,Club Hípico de Santiago,1,13:00,SHAADIR,1000,Arena,15,THOTHO,Stay Thirsty,57,R. Covarrubias,R. Toledo M.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,1,PERFIDE,Ivan Denisovich,55,A. Varas,R. Rojas S.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,2,MI JARDIN,Robert Bruce,55,3 F. Medina-,Fco. Pinochet P.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,4,SEÑORA RITA,The Lumber Guy,55,R. Fuenzalida,M. Velarde B.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,6,INARI,Flameaway (Can),55,3 N. Molina (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,7,MINX,Alfonso (Usa),55,3 Js. Villablanca,M. Velarde B. D E B U T A
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,11,LIORA,Dangerous Midge,55,3 D. Carrasco (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,1,TAMBERI,The Lumber Guy,58,3 F. Medina-,Js. Alvarez D.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,2,NAMRUD TIGER,Handsome Tiger,54,3 R. Cisternas,Jn. Cavieres A.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,3,GUACHACA,Robert Bruce,54,3 D. Cheuque-,D. Contreras A.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,5,THE LAWYER,The Lumber Guy,58,3 R. Fournet-,Cr. Urbina R.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,6,GOLD DADDY,Grand Daddy,58,Seb. Gonzalez,J. C. Pichara J.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,7,PIBE CANTINA,Flameaway (Can),54,3 B. Sancho,Js. Inda De La C.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,1,A TODO VAPOR,Classic Empire (U,55,3 Gvo. Aros,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,3,KANDOZI,Ivan Denisovich,58,5 F. Henriquez,R. Montesino S.183cP
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,5,BLUE FOR EVER,Classic Empire (,53,3 H. Ochoa,R. Sanchez Q.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,7,A MI MODO,Seeking The Dia,56,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,8,TIGRO (ARG),Mastercraftsman,59,T. Seith,C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,4,TEN PLUS ONE,Palm Springs (Usa,57,3 Js. Cueto,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,5,TRASCATRASCA,Bad Daddy,57,Joh. Gonzalez,Js. Inda De La C.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,7,ELSEBAAHORRATODO,Katmai,57,3 D. Cheuque-4 (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,8,LUQUITAS,Spun To Run (Usa),57,B. Sancho,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,9,ERKAN,Flameaway (Can),57,3 N. Molina (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,10,FLY STELLAS,Flyer,57,L.,C. Gonzalez O. Martinez L
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,11,CAREMECHE,Il Rey Ivan,57,F. Taun,R. Serrano G.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,12,EL SALVADOR,International Star,57,3 V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,13,KILAN,Viscount Nelson,57,M.,A. Donoso Fco. Pinochet P
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,14,CHARLY CHARLY,Lookin At Lucky,57,3 Seb. Gonzalez (Ap),J. Silva B.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,1,FLIGHT OF ICARUS,Midshipman,54,4 L.,C. Gonzalez S. Morales G.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,2,BEST PLAYER,Cupid,59,R. Fuenzalida,R. Silva S.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,3,MILTEO,Dubai Sky,60,N. Santibañez,Cr. Urbina R.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,4,LA MARRE,Seeking The Dia,54,4 Seb. Gonzalez (Ap),Js. Araya B.205h
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,5,SACANNE,Mendelssohn (Usa),53,R. Cisternas,J. Orellana R.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,6,INDIAN POET,Constitution,61,7 M. Chamorro,R. Montesino S.304cA
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,7,MR YO,Mr Speaker,59,R.,S. Dores C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,8,EL GRIEGO,Katmai,56,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,10,HARRY GO,Cunco (Ire),57,P. Robles,J. Pinochet P.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,1,LARRYKANE,Practical Joke,55,J.,A. Miño W. Ara D.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,2,NA NI NA,Competitive Edge,58,R.,S. Dores D. Matte D.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,3,DON MATIAS,Hinz,58,T. Seith,O. Martinez L.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,4,CELTIC DAD,Robert Bruce,54,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,6,ZALAVERRY,Viscount Nelson,60,V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,7,SOS DE BOCA,Robert Bruce,58,L. Torres,C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,8,FREUD WISH,Mr Speaker,56,W. Quinteros,C. Garcia V.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,9,STATE OF GRACE,State Of Play,57,6 Jr.,A. Gonzalez C. Gonzalez M
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,1,MITOU,Good Samaritan (Usa),53,N. Ramirez,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,4,LA DICHA,Good Samaritan (Usa),52,4 I. Valdivia,G. Aguirre A.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,5,ANALOGO,Until Sundown,51,A. Vasquez,M. Perez A.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,6,HIJO DEL TUTO,Grand Daddy,59,4 L. Torres (Ap),Js. Araya B.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,8,KAREV,Constitution,53,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,9,SETANTA,Mendelssohn (Usa),50,Jr. Zuñiga,P. Baeza A.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,1,MANKIND,Goldencents,56,I. Valdivia,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,2,QUEEN ANY,Cloud Computing,58,5 R. Avila,R. Montesino S.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,3,EL SOM CENTAURO,Iron Clad,58,R. Covarrubias,A. Perez D.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,5,RUCIA DEL DOC,Exaggerator,55,Js. Villablanca,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,6,DI ALBA,Ivan Denisovich,58,4 Joh. Gonzalez,G. Covarrubias E.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,7,CABLE A TIERRA,Fantasmagorico,57,5 M. Chamorro,R. Toledo M.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,8,LA SIGUIENTE,Exaggerator,56,A. Varas,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,9,LAGO DEL SOL,Get Jets,57,J. Toro,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,10,NIÑO SEXY,Handsome Tiger,57,R. Solorza,Jn. Cavieres A.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,11,PRIMA TOWN,Mo Town,58,V. Bracetti,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,12,UNO CERO,Todo Un Amiguito,58,L.,C. Gonzalez F. Gonzalez S
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,13,PATMAHO,Grand Daddy,57,7 B. Soto (Ap),Js. Araya B.
2026-02-09,Club Hípico de Santiago,9,16:45,TERSICORE,1000,Arena,15,KOLETTE,Exaggerator,55,4 J. Reyes,R. Montesino S.
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,2,GENIE,Lookin At Lucky,55,Jr.,A. Gonzalez J. Orellana R
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,3,BARCOLA,Katmai,55,2 Seb. Gonzalez,M. Rabajille D. D E B U T
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,4,TE TENGO CARIÑO,Flyer,55,T. Seith,O. Martinez L.
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,5,ZHENG SHI,Hiraboku Deep (Jap),55,2 N. Ramirez,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,6,ALISHEBA,Mustaaqeem (Aus),55,N. Molina,A. Padovani E.
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,7,HONEY RAW,Seeking The Dia,55,2 D. Alvarado,C. Raby V. D E B U T A (S
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,8,MUJER DE ORO,Tacitus (Usa),55,2 R. Cisternas,J. Orellana R. D E B U T 
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,9,KEIRA,Kingly (Usa),55,V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,10,LADY ASHLEY,Rotation (Usa),55,2 H. Ochoa,R. Sanchez Q. D E B U T A
2026-02-09,Club Hípico de Santiago,10,17:15,TIA WALDA,1200,Pasto,11,DOTTORESSA,Flameaway (Can),55,2 J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,1,INDHIRA,War Command,54,5 M. Chamorro,R. Montesino S.212cP
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,2,FERLUISI,Spun To Run (Usa),58,J. Medina,H. E. Ulloa P.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,3,EL PITIN,Forward March,58,H. Ochoa,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,4,LA ABU,War Command,53,5 Seb. Gonzalez (Ap),Js. Araya B.205cP
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,5,SEÑOR AMANTE,Grand Daddy,52,3 N. Molina (Ap),Js. Araya B.193cP
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,6,LIMATOWN,Mo Town,61,L. Torres,A. Parra D.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,7,PALACETE,Ticket To Run,58,Jon.,A. CastilloA. Parra D.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,8,ARAKI,Lookin At Lucky,56,J. Toro,A. Padovani E.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,9,STRAY KIDS,Tourist,58,A. Varas,A. Parra D.
2026-02-09,Club Hípico de Santiago,11,17:45,TOTAL FIRE,1000,Pasto,10,COKE SPIRIT,Ivan Denisovich,57,T. Seith,P. Lopez P.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,1,ANCELOTTI,Speightster,54,N. Ramirez,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,5,ODESSA,Flyer,54,I. Valdivia,G. Aguirre A.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,6,CALIFORNIA KING,California Chr,58,6 H. Ochoa (Ap),Js. Araya B.186cP
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,7,JAGER MAISTER,International St,56,4 P. Robles,J. Pinochet P.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,8,RUSTY,Lookin At Lucky,55,Js. Solano,W. Peña P.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,9,GRAN KURU,Exaggerator,55,Jon.,A. CastilloA. Parra D.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,10,LONCO BRAVO,El Hueñe,55,Seb. Gonzalez,G. Melej R.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,11,GIORGIO DI CAPRI,Sonoma Band,58,6 A. Vasquez,M. Perez A.
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,12,KORPER,Midshipman,57,4 R. Avila,R. Montesino S.172cA
2026-02-09,Club Hípico de Santiago,12,18:15,TAZ BOY,1400,Arena,13,REY ESCOCES,Lookin At Lucky,55,6 N. Molina (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,1,EL BOHEMIO,Midshipman,54,V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,3,CHICA DEL LUCERO,Star Dabbler,58,4 N. Molina,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,4,OJO DE HALCON,Seville Ii,54,L.,C. Gonzalez F. Gonzalez S
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,5,SCANDINAVA,Dylan Thomas,54,R.,S. Dores A. Bernal G.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,6,BLACK KINGLY,Kingly (Usa),58,3 L.,P. Silva G. Covarrubias E
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,7,NIÑITA POR DIOS,Gran Carboncil,55,3 G. Rodriguez,R. Montesino S.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,9,QUE TERRIBLE,Seeking The Dia,55,T. Seith,C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,10,RECHIFLAO,Gstaad Ii,55,B. Sancho,A. Bernal G.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,11,ARTHUR SHELBY,Grand Daddy,57,3 Seb. Gonzalez (Ap),Js. Araya B.
2026-02-09,Club Hípico de Santiago,13,18:45,TODAS IGUALES,1000,Pasto,12,EXTROVERTIDA,Mastercraftsman,55,9 I. Valdivia,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,1,JOHN COOPER,Scat Royal,54,4 D. Carrasco,R. Montesino S.136cA
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,2,REINA EGIPCIA,Spun To Run (Usa,57,3 Joh. Gonzalez,Fco. Pinochet P.163cP
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,4,TEA AND MILK,Lookin At Lucky,54,3 G. Rodriguez,R. Montesino S.137cP
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,5,TINTA ETERNA,Dylan Thomas,54,R. Covarrubias,A. Perez D.
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,9,BARBIE DREAMS,Layman,55,5 Seb. Gonzalez (Ap),J. Silva B.
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,10,DOMENICO,Ivan Denisovich,55,4 B. Soto (Ap),Js. Araya B.145cA
2026-02-09,Club Hípico de Santiago,14,19:15,TOP MOVIE,1000,Pasto,11,LEYSKA,Grand Daddy,57,4 R. Fournet (Ap),Js. Araya B.161cA
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,1,QUIEN ME PILLO,Midshipman,54,F. Sanchez,S. Morales G.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,2,RED DADDY,Grand Daddy,58,Jon.,A. CastilloA. Bernal G.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,4,TANGERINE TANGO,Constitution,53,5 I. Valdivia,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,6,MAXIWARIO,Viscount Nelson,58,7 L.,P. Silva G. Covarrubias E
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,7,RIO DE LAS MINAS,Tourist,57,R. Cisternas,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,8,GRAN PIOLA,Constitution,54,7 Joh. Gonzalez,Fco. Pinochet P.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,9,LUGA,Mendelssohn (Usa),56,G. Rodriguez,A. Parra D.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,10,VOLANTE MIXTO,Layman,56,4 Seb. Gonzalez,Fco. Faundez Ll.103cA
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,11,QUE VIVA EL REY,Dylan Thomas,58,5 N. Ramirez,M. Velarde B.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,12,JAVIVALETU,Exaggerator,57,V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,13,PESO DORADO,Goldencents,55,R. Fuenzalida,Cl. Navarro A.
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,14,CICARELLI,Constitution,57,7 A. Morales,G. Covarrubias E.118h
2026-02-09,Club Hípico de Santiago,15,19:50,TIFONE,1400,Arena,15,MUY SOLO AQUI,Lookin At Lucky,52,6 N. Molina,Cl. Navarro A.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,2,PARTNER QUERIDO,Get Jets,58,B. Sancho,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,4,LA SOÑE,Midshipman,54,6 L.,P. Silva G. Covarrubias E
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,5,YA MAGICO,Viscount Nelson,54,6 Joh. Gonzalez,G. Covarrubias E.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,7,BOY SCOUT,Hinz,57,Jon.,A. CastilloA. Parra D.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,8,YO SOY YI,Grand Daddy,56,R. Loyola,H. Manriquez F.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,9,PETIROSSA,Ivan Denisovich,57,4 N. Molina,R. Montesino S.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,10,SALTARIN,Lookin At Lucky,56,N. Ramirez,M. Velarde B.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,11,FREE REIN,Hold Me Back,58,A. Varas,R. Rojas S.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,12,TWO FLAGS,Seeking The Dia,58,R. Solorza,A. Perez D.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,13,TOWN OF TREBBI,Mo Town,56,F. Sanchez,S. Morales G.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,14,SUBI,Passion For Gold,58,P. Reyes,A. Perez D.
2026-02-09,Club Hípico de Santiago,16,20:25,TODOTERRENO,1000,Arena,15,SISI STAR,Mendelssohn (Usa),54,4 J. Reyes,R. Montesino S.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,1,LEVERT,Robert Bruce,55,B. Ayala,L. Machulas G.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,2,MATE AMARGO,Ahora Ii,57,4 B. Soto (Ap),Js. Araya B.1211cA
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,3,JALONADO,Dylan Thomas,57,3 M.,A. Donoso Fco. Pinochet P
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,4,MI TIO POLO,Sumerio,55,L.,C. Gonzalez E. Carreño R.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,5,EL LEGENDARIO,Mo Town,54,N. Molina,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,6,DON'T CRY DADDY,Grand Daddy,57,8 Js. Cueto,O. E. Silva G.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,7,DON GIORGIO,Dubai Sky,56,Jr.,A. Gonzalez A. Parra D.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,8,JE T'AIME,Cupid,55,Joh. Gonzalez,S. Morales G.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,9,HUMAN SOUL,Ivan Denisovich,56,4 P. Reyes,Fco. Faundez Ll.1112cP
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,10,VERSERO,Grand Daddy,56,4 J. Medina,P. Valderrama C.1111cA
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,11,MACRON,Ticket To Run,57,N. Ramirez,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,12,RAPILLANA,Ivan Denisovich,57,3 M. Chamorro,R. Montesino S.1212cP
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,13,HIER ANCORE,Mendelssohn (Usa),55,4 A. Varas,C. Garcia V.
2026-02-09,Club Hípico de Santiago,17,21:00,TENER PASION,1000,Pasto,14,NAHUEN,Gran Carboncillo,57,3 G. Rodriguez,R. Montesino S.1211cP
