Carrera,Hora,Superficie,Distancia,Caballo,Jinete,Peso,Preparador,Dividendo_ML
1,13:00,ARENA,1000,NEGRO APAPUCHI,J. A. MIÑO,57,G. PERALTA P.,31
1,13:00,ARENA,1000,UNO CERO,N. RAMIREZ,57,F. GONZALEZ S.,7
1,13:00,ARENA,1000,NIETA DEL MONTY,N. MOLINA,57,D. MATTE D.,21
1,13:00,ARENA,1000,AFIRMATE TOÑITO,L. D. MENGHINI,57,O. E. SILVA G.,16
1,13:00,ARENA,1000,SPECIAL MACHINE,M. MORALES,57,R. MONTESINO S.,6
1,13:00,ARENA,1000,LUDMILA,B. SOTO,57,W. PEÑA P.,13
1,13:00,ARENA,1000,SOBRAO DE CARIÑO,C. ORTEGA,57,A. BERNAL G.,11
1,13:00,ARENA,1000,TURBOCHELA,R. LOYOLA,57,A. JAQUE S.,51
1,13:00,ARENA,1000,PRAIA DO FORTE,R. FUENZALIDA,57,C. GARCIA V.,9
1,13:00,ARENA,1000,FLOR DE JAMAICA,B. SANCHO,57,JN. RODRIGUEZ R.,13
1,13:00,ARENA,1000,MANANO,M. A. DONOSO,57,O. E. SILVA G.,3
1,13:00,ARENA,1000,PACIENCIA ETERNA,J. PIMENTEL,57,G. MELEJ R.,11
1,13:00,ARENA,1000,VALDEMIRA BAY,W. LEON,57,L. MACHULAS G.,21
2,13:28,ARENA,1000,DALIKA,N. RAMIREZ,58,M. RABAJILLE D.,9
2,13:28,ARENA,1000,SALTO DEL GUAPO,B. TRONCOSO,53,S. MORALES G.,7
2,13:28,ARENA,1000,CORRER NORTINO,J. MEDINA,55,D. MATTE D.,5
2,13:28,ARENA,1000,MAHALO,L. TORRES,61,JS. ALVAREZ D.,13
2,13:28,ARENA,1000,LA JIBARITA,SEB. GONZALEZ,54,E. CARREÑO R.,11
2,13:28,ARENA,1000,EL CARRIL,R. FUENZALIDA,59,J. CASTILLO L.,6
2,13:28,ARENA,1000,DOORSTEP,R. S. DORES,54,D. MATTE D.,13
2,13:28,ARENA,1000,SAHARA PRINCESS,A. ALVAREZ,53,S. ALVARADO P.,2.5
3,13:56,PASTO,1600,GOOGY,R. CISTERNAS,57,C. RABY V.,11
3,13:56,PASTO,1600,ZARKAHN,N. ROJAS,57,P. BAEZA A.,7
3,13:56,PASTO,1600,JANNIK,J. HERRERA,57,J. ORELLANA R.,6
3,13:56,PASTO,1600,CAREMECHE,A. VILLAGRA,57,R. MONTESINO S.,31
3,13:56,PASTO,1600,SIEMPRE ESTOY,B. LEON,57,JS. ALLENDE F.,13
3,13:56,PASTO,1600,EL JEI,R. S. DORES,57,F. GONZALEZ S.,16
3,13:56,PASTO,1600,NYQUISTER,J. MEDINA,57,P. BAEZA A.,4
3,13:56,PASTO,1600,TAP LUCKY,G. ULLOA,57,H. E. ULLOA P.,2.5
4,14:26,ARENA,1000,TANGO,M. A. DONOSO,57,O. E. SILVA G.,13
4,14:26,ARENA,1000,VALLTTERI,R. AVILA,56,R. MONTESINO S.,3
4,14:26,ARENA,1000,VAN DER SAR,J. PIMENTEL,57,G. MELEJ R.,7
4,14:26,ARENA,1000,DANITA FIRST,F. HENRIQUEZ,57,C. GARCIA V.,6
4,14:26,ARENA,1000,GRAN TOMAHAWK,P. REYES,56,O. E. SILVA G.,16
4,14:26,ARENA,1000,MUCHO VERSO,B. SANCHO,57,CL. BERNAL G.,11
4,14:26,ARENA,1000,DOMINGO ISLEÑO,JN. MUÑOZ M.,56,G. MELEJ R.,31
4,14:26,ARENA,1000,KING NICOLAS,R. PAINEN,56,M. VELARDE B.,13
4,14:26,ARENA,1000,ANTUMBRA,M. CHAMORRO,56,R. MONTESINO S.,11
4,14:26,ARENA,1000,DI LA VERDAD ROSA,AND. CASTILLO,57,FCO. FAUNDEZ LL.,51
4,14:26,ARENA,1000,PITTIRANGA,A. APABLAZA,57,G. MELEJ R.,21
4,14:26,ARENA,1000,AHMAKIL,R. SOLORZA,56,S. ALVARADO P.,31
4,14:26,ARENA,1000,WALKA,N. SANTIBAÑEZ,56,C. MELERO F.,9
5,14:54,PASTO,1000,FRENCH CANDY,F. MEDINA,57,R. MONTESINO S.,16
5,14:54,PASTO,1000,VIAJE A CARMEL,JOH. GONZALEZ,57,O. MARTINEZ L.,21
5,14:54,PASTO,1000,LINDO RECUERDO,J. MEDINA,57,R. SANCHEZ Q.,7
5,14:54,PASTO,1000,CATAPOS,A. VILLAGRA,57,A. PARRA D.,11
5,14:54,PASTO,1000,RAYMI,B. SOTO,57,JS. ARAYA B.,13
5,14:54,PASTO,1000,DEJALO AHI,N. ROJAS,57,P. BAEZA A.,6
5,14:54,PASTO,1000,PRIMAZO,B. LEON,57,G. AGUIRRE A.,3
5,14:54,PASTO,1000,TRASCATRASCA,B. SANCHO,57,JS. INDA DE LA C.,16
5,14:54,PASTO,1000,MY SWEET LORD,A. APABLAZA,57,CR. QUIROZ E.,21
5,14:54,PASTO,1000,CRUZA EL RIO,G. GIVOVICH,57,R. TOLEDO M.,31
5,14:54,PASTO,1000,EN CHATEAUROUX,B. TRONCOSO,57,JS. ARAYA B.,5
6,15:19,PASTO,1300,SIETE DE ABRIL,JON. A. CASTILLO,54,R. SANCHEZ Q.,11
6,15:19,PASTO,1300,RED DIAMOND,W. LEON,50,A. BERNAL G.,6
6,15:19,PASTO,1300,TIO JUAN,V. MIRANDA,54,A. PADOVANI E.,7
6,15:19,PASTO,1300,EXIJO RESPETO,C. ORTEGA,58,JS. ALVAREZ D.,13
6,15:19,PASTO,1300,COCHERO DEL DIABLO,I. VALDIVIA,50,P. BAEZA A.,2
6,15:19,PASTO,1300,MY GREAT,J. TORO,57,A. PARRA D.,4
7,15:49,PASTO,1000,KILAN,L. D. MENGHINI,57,O. E. SILVA G.,3
7,15:49,PASTO,1000,TATUN,JS. CUETO,57,J. CASTILLO L.,51
7,15:49,PASTO,1000,MACRON,N. RAMIREZ,57,M. RABAJILLE D.,11
7,15:49,PASTO,1000,ALPAQUITAY,N. ROJAS,57,P. BAEZA A.,13
7,15:49,PASTO,1000,SIMONE BULL,B. SOTO,57,JS. ARAYA B.,16
7,15:49,PASTO,1000,EL SALVADOR,JOH. GONZALEZ,57,O. MARTINEZ L.,21
7,15:49,PASTO,1000,POETA GRIEGO (ARG),N. MOLINA,57,JN. RODRIGUEZ R.,11
7,15:49,PASTO,1000,SLOVAK,R. FUENZALIDA,57,F. SOLAR S.,13
7,15:49,PASTO,1000,PARTNER QUERIDO,B. SANCHO,57,CL. BERNAL G.,9
7,15:49,PASTO,1000,CANELO DORADO,R. FOURNET,57,C. GONZALEZ M.,6
7,15:49,PASTO,1000,ERKAN,M. A. BUSTAMANTE,57,JS. ARAYA B.,16
7,15:49,PASTO,1000,MUSICO Y SOLDADO,B. TRONCOSO,57,CR. URBINA R.,7
8,16:17,PASTO,1200,EL MASACRE,I. VALDIVIA,57,R. A. QUIROZ S.,3
8,16:17,PASTO,1200,EL SABLAZO,N. RAMIREZ,57,M. RABAJILLE D.,7
8,16:17,PASTO,1200,EL REY JULIAN,F. MEDINA,57,R. A. QUIROZ S.,31
8,16:17,PASTO,1200,ALAIN DELON,R. S. DORES,57,D. MATTE D.,11
8,16:17,PASTO,1200,SAPIRONGO,G. RODRIGUEZ,57,P. BAEZA A.,16
8,16:17,PASTO,1200,CINQUE TERRE,JR. ZUÑIGA,57,J. C. SILVA S.,5
8,16:17,PASTO,1200,NEED TO FLY,J. MEDINA,57,P. BAEZA A.,13
8,16:17,PASTO,1200,TREN DEL RECUERDO,J. HERRERA,57,CL. BERNAL G.,6
8,16:17,PASTO,1200,LOU ARMSTRONG,L. TORRES,57,O. MARTINEZ L.,13
8,16:17,PASTO,1200,ARTURO ROBERTO,SEB. GONZALEZ,57,R. A. QUIROZ S.,16
8,16:17,PASTO,1200,DON GIORGIO,JON. A. CASTILLO,57,A. PARRA D.,21
9,16:45,ARENA,1000,INDIAN POET,J. MEDINA,57,R. MONTESINO S.,3
9,16:45,ARENA,1000,SCALPING,N. MOLINA,55,CL. BERNAL G.,11
9,16:45,ARENA,1000,MISTERIO LUMINOSO,B. TRONCOSO,57,S. MORALES G.,13
9,16:45,ARENA,1000,C'EST VRAI,R. S. DORES,58,D. MATTE D.,6
9,16:45,ARENA,1000,BORN TO BE WILD,C. ORTEGA,56,JS. ALVAREZ D.,11
9,16:45,ARENA,1000,YO PAGO TODO,L. TORRES,58,FCO. FAUNDEZ LL.,4
9,16:45,ARENA,1000,ALE GUAPA,B. SANCHO,56,D. MATTE D.,5
10,17:15,ARENA,1000,COLOR DE SUEÑO,R. S. DORES,56,D. MATTE D.,11
10,17:15,ARENA,1000,DONDE RAUL,V. MIRANDA,54,A. PADOVANI E.,7
10,17:15,ARENA,1000,CRISTALINO,JON. A. CASTILLO,56,A. PARRA D.,13
10,17:15,ARENA,1000,PUNTA ITATA,F. HENRIQUEZ,58,C. GONZALEZ M.,6
10,17:15,ARENA,1000,NOVAK,R. CISTERNAS,55,S. ALVARADO P.,4
10,17:15,ARENA,1000,RIO AZOPARDO,N. MOLINA,57,CL. BERNAL G.,9
10,17:15,ARENA,1000,GENUINE COMAND,G. GIVOVICH,55,JN. RODRIGUEZ R.,16
10,17:15,ARENA,1000,VIVIR SIN TI,N. RAMIREZ,55,J. C. PICHARA J.,21
10,17:15,ARENA,1000,PLUMA DE MAR,R. SOLORZA,56,C. GARCIA V.,31
10,17:15,ARENA,1000,DON MIGUE,B. SANCHO,57,M. MEDINA T.,11
10,17:15,ARENA,1000,BESO AL CIELO,R. PAINEN,56,JS. ARAYA B.,16
10,17:15,ARENA,1000,OBRA DE ARTE,JR. VERA,56,D. MATTE D.,13
10,17:15,ARENA,1000,SE PREPARO,J. TORO,54,A. PARRA D.,11
11,17:45,PASTO,1300,TIGRO (ARG),M. GUTIERREZ,58,C. GONZALEZ M.,11
11,17:45,PASTO,1300,MONARCA,J. A. MIÑO,50,G. PERALTA P.,7
11,17:45,PASTO,1300,KANDOZI,SEB. GONZALEZ,57,R. MONTESINO S.,13
11,17:45,PASTO,1300,DIAMOND ONE,J. HERRERA,59,R. SANCHEZ Q.,4
11,17:45,PASTO,1300,EL KING,N. MOLINA,54,H. E. ULLOA P.,31
11,17:45,PASTO,1300,CINCINNATUS,K. ESPINA,58,P. BAEZA A.,5
11,17:45,PASTO,1300,CALOCHITA,A. ALVAREZ,54,J. CASTILLO L.,11
11,17:45,PASTO,1300,LUCKY SPARK,J. MEDINA,54,P. BAEZA A.,16
11,17:45,PASTO,1300,ELEGIDO CON PINZAS,B. TRONCOSO,55,A. PADOVANI E.,21
11,17:45,PASTO,1300,OFESTIVO,M. GALAZ,59,J. ESPIÑEIRA C.,31
11,17:45,PASTO,1300,RAUCO,L. TORRES,58,R. MONTESINO S.,13
11,17:45,PASTO,1300,GENESIS,N. RAMIREZ,56,JS. ARAYA B.,6
12,18:15,PASTO,1300,FLACO TITO,P. REYES,55,R. SANCHEZ Q.,13
12,18:15,PASTO,1300,YA ERA HORA,I. VALDIVIA,51,J. PINOCHET P.,9
12,18:15,PASTO,1300,SPARTAN,D. SANCHEZ,55,A. PARRA D.,16
12,18:15,PASTO,1300,ICHUAC,B. LEON,61,JS. ALLENDE F.,7
12,18:15,PASTO,1300,LOCO Y DEMENTE,J. TORO,52,A. PARRA D.,13
12,18:15,PASTO,1300,HUFGNER,J. HERRERA,60,J. ORELLANA R.,5
12,18:15,PASTO,1300,NUNCA PERDONA,N. MOLINA,53,JS. ARAYA B.,21
12,18:15,PASTO,1300,CANTICIO,JR. ZUÑIGA,51,JS. ARAYA B.,16
12,18:15,PASTO,1300,DON ALTOBELLO,J. MEDINA,54,P. BAEZA A.,3
12,18:15,PASTO,1300,PELE O REY,R. CISTERNAS,61,J. ORELLANA R.,11
12,18:15,PASTO,1300,ON THE MUSIC,A. APABLAZA,56,FCO. FAUNDEZ LL.,13
13,18:45,ARENA,1000,NONA BLANCA,J. TORO,56,JS. ARAYA B.,13
13,18:45,ARENA,1000,NUTCRACKER,JN. MUÑOZ M.,55,G. MELEJ R.,31
13,18:45,ARENA,1000,SEE YOU AGAIN,L. C. GONZALEZ,56,F. GONZALEZ S.,21
13,18:45,ARENA,1000,LUCHIN ENOJON,O. MENESES,57,F. GONZALEZ S.,6
13,18:45,ARENA,1000,KOLETTE,JR. VERA,55,R. MONTESINO S.,16
13,18:45,ARENA,1000,VUELVE LA FARRA,CL. JORQUERA,57,R. SILVA S.,13
13,18:45,ARENA,1000,HAMM GOOD,C. ORTEGA,55,S. MORALES G.,11
13,18:45,ARENA,1000,LADY OF MERCIA,D. SANCHEZ,55,S. ALVARADO P.,16
13,18:45,ARENA,1000,FELIPHON,N. RAMIREZ,55,A. FERNANDEZ L.,21
13,18:45,ARENA,1000,VOLANTE MIXTO,M. MORALES,57,FCO. FAUNDEZ LL.,7
13,18:45,ARENA,1000,LA SIGUIENTE,SEB. GONZALEZ,56,H. MANRIQUEZ F.,16
13,18:45,ARENA,1000,BRINDO POR ELLA,R. CISTERNAS,55,D. MATTE D.,21
13,18:45,ARENA,1000,RODELINDO CRACK,R. SOLORZA,55,E. CARREÑO R.,9
13,18:45,ARENA,1000,LATEN GOOD,G. GIVOVICH,57,G. PERALTA P.,31
13,18:45,ARENA,1000,PALMAS SORDITAS (ARG),R. FUENZALIDA,57,R. MUÑOZ M.,4
14,19:15,ARENA,1000,SALE DE MIS OJOS,B. SOTO,57,F. SOLAR S.,13
14,19:15,ARENA,1000,EL NENE,A. ALVAREZ,55,CL. BERNAL G.,6
14,19:15,ARENA,1000,TOWN OF TREBBI,F. HENRIQUEZ,57,S. MORALES G.,9
14,19:15,ARENA,1000,EL APARECIDO,B. SANCHO,57,R. A. QUIROZ S.,11
14,19:15,ARENA,1000,MONTES PREMIUM,J. HERRERA,56,JS. ALLENDE F.,13
14,19:15,ARENA,1000,MECEDOR,C. FUENZALIDA,57,A. JAQUE S.,31
14,19:15,ARENA,1000,MAKINEN,G. GIVOVICH,56,JN. RODRIGUEZ R.,21
14,19:15,ARENA,1000,BEL FIOR,R. PAINEN,55,JS. ARAYA B.,13
14,19:15,ARENA,1000,CABLE A TIERRA,M. CHAMORRO,56,R. TOLEDO M.,7
14,19:15,ARENA,1000,GUARDA BELLINA,JR. VERA,57,M. MEDINA T.,16
14,19:15,ARENA,1000,NEL BLU,M. GUTIERREZ,57,CL. BERNAL G.,11
14,19:15,ARENA,1000,VIRADORA,N. RAMIREZ,57,F. GONZALEZ S.,4
14,19:15,ARENA,1000,MERCI MON DIEU,N. MOLINA,55,D. MATTE D.,13
15,19:48,ARENA,1000,SALDO CONTABLE,R. FOURNET,57,R. SILVA S.,7
15,19:48,ARENA,1000,SEÑOR TRONCOSO,R. FUENZALIDA,56,CL. BERNAL G.,16
15,19:48,ARENA,1000,TAMBERI,J. HERRERA,57,JS. ALVAREZ D.,11
15,19:48,ARENA,1000,CHOW CHOW,P. REYES,57,O. E. SILVA G.,13
15,19:48,ARENA,1000,CASUAL VISION,B. SANCHO,56,D. MATTE D.,9
15,19:48,ARENA,1000,LA ESCUDERA,N. RAMIREZ,57,JS. ARAYA B.,16
15,19:48,ARENA,1000,CAMELOT,F. HENRIQUEZ,56,C. GONZALEZ M.,11
15,19:48,ARENA,1000,REO POR LINDO,JON. A. CASTILLO,56,A. PARRA D.,31
15,19:48,ARENA,1000,BERGERAC (ARG),R. SOLORZA,56,M. MEDINA T.,4
15,19:48,ARENA,1000,DULCE DIABLA,J. MEDINA,57,R. SANCHEZ Q.,11
15,19:48,ARENA,1000,MI BELLA FER,R. S. DORES,57,F. GONZALEZ S.,13
15,19:48,ARENA,1000,A MI EDAD DIFICIL,R. COVARRUBIAS,56,S. ALVARADO P.,6
15,19:48,ARENA,1000,SOY EL CANTANTE,L. GONZALEZ,56,R. SANCHEZ Q.,21
16,20:22,ARENA,1000,LONDON PALACE,J. HERRERA,57,O. MARTINEZ L.,5
16,20:22,ARENA,1000,AMOR FURTIVO,SEB. GONZALEZ,55,R. SILVA S.,13
16,20:22,ARENA,1000,NEGRA PERLA,M. GUTIERREZ,57,C. GONZALEZ M.,21
16,20:22,ARENA,1000,TWO FLAGS,R. SOLORZA,58,S. ALVARADO P.,6
16,20:22,ARENA,1000,QUE BONITO QUE SOY,R. FUENZALIDA,56,S. MORALES G.,31
16,20:22,ARENA,1000,GRAN KURU,L. C. GONZALEZ,57,A. PARRA D.,21
16,20:22,ARENA,1000,PETIROSSA,N. RAMIREZ,56,R. MONTESINO S.,13
16,20:22,ARENA,1000,TU Y YO,G. GIVOVICH,56,M. VELARDE B.,16
16,20:22,ARENA,1000,JE T'AIME,JOH. GONZALEZ,56,S. MORALES G.,11
16,20:22,ARENA,1000,EMA COOCK,B. SANCHO,57,JN. RODRIGUEZ R.,7
16,20:22,ARENA,1000,IVY QUEEN,N. MOLINA,57,JN. RODRIGUEZ R.,13
16,20:22,ARENA,1000,NEOLIBERAL,JON. A. CASTILLO,57,R. MONTESINO S.,16
16,20:22,ARENA,1000,CIAO JUANITA,L. D. MENGHINI,55,O. E. SILVA G.,21
16,20:22,ARENA,1000,PATMAHO,B. SOTO,58,JS. ARAYA B.,13
16,20:22,ARENA,1000,BAMBO LUKAS,R. CISTERNAS,57,D. MATTE D.,9
17,20:56,ARENA,1000,INTRIGANT,R. FUENZALIDA,57,S. ALVARADO P.,5
17,20:56,ARENA,1000,MUY TEMPERADA,JOH. GONZALEZ,56,F. GONZALEZ S.,13
17,20:56,ARENA,1000,RUCIA DEL DOC,J. TORO,57,A. FERNANDEZ L.,16
17,20:56,ARENA,1000,ARTHUR SHELBY,R. PAINEN,57,JS. ARAYA B.,11
17,20:56,ARENA,1000,GRAND CASABLANCA,J. PIMENTEL,56,G. MELEJ R.,13
17,20:56,ARENA,1000,DEAR SISTER,R. SOLORZA,57,F. GONZALEZ S.,6
17,20:56,ARENA,1000,ASTRO SOL,JON. A. CASTILLO,56,A. PARRA D.,16
17,20:56,ARENA,1000,HUACARNECO,SEB. GONZALEZ,56,FCO. PINOCHET P.,7
17,20:56,ARENA,1000,ACHAPLINA,L. C. GONZALEZ,56,W. PEÑA P.,21
17,20:56,ARENA,1000,CROCKED,P. REYES,57,R. SANCHEZ Q.,9
17,20:56,ARENA,1000,EL PELUSA,M. A. DONOSO,57,O. E. SILVA G.,51
17,20:56,ARENA,1000,SULTAN GUERRERO,R. AVILA,57,R. MONTESINO S.,16
17,20:56,ARENA,1000,VUELA EL AMOR,B. SANCHO,56,A. JAQUE S.,13
17,20:56,ARENA,1000,AMPAWAN,B. SOTO,57,JS. ARAYA B.,31
17,20:56,ARENA,1000,BLUE KENTUCKY GIRL,W. LEON,57,G. COVARRUBIAS E.,16
18,21:30,ARENA,1000,SUBI,JS. CUETO,57,S. ALVARADO P.,9
18,21:30,ARENA,1000,TWEETY,J. MEDINA,54,R. TOLEDO M.,4
18,21:30,ARENA,1000,HIJA DEL PAN,N. MOLINA,56,S. ALVARADO P.,13
18,21:30,ARENA,1000,GRANDE TUZA,D. SANCHEZ,58,F. GONZALEZ S.,11
18,21:30,ARENA,1000,EL CUENTO DEL LOBO,A. VILLAGRA,54,FCO. PINOCHET P.,21
18,21:30,ARENA,1000,SABIONDO,JON. A. CASTILLO,57,A. PARRA D.,13
18,21:30,ARENA,1000,TODAS MIENTEN,JS. PAREDES,55,JS. ARAYA B.,11
18,21:30,ARENA,1000,MISTER HEAD,A. ALVAREZ,54,A. PARRA D.,16
18,21:30,ARENA,1000,DOMENICO,R. PAINEN,55,JS. ARAYA B.,21
18,21:30,ARENA,1000,RIO SAN JUAN,JR. VERA,57,CL. BERNAL G.,31
18,21:30,ARENA,1000,SAIKOU,R. FUENZALIDA,57,A. JAQUE S.,6
18,21:30,ARENA,1000,ZULEMA ZAHIR,M. A. BUSTAMANTE,56,JS. ARAYA B.,21
18,21:30,ARENA,1000,VILLAMARE,J. TORO,54,A. FERNANDEZ L.,16
18,21:30,ARENA,1000,EL QUE LA LLEVA,A. APABLAZA,58,FCO. FAUNDEZ LL.,7